iter	Passed	Remaining
0	172	171963
1	173	86603
2	176	58744
3	178	44512
4	180	35917
5	185	30649
6	190	27024
7	193	24049
8	197	21755
9	199	19722
10	200	18049
11	202	16648
12	203	15451
13	204	14430
14	206	13564
15	207	12770
16	208	12083
17	210	11498
18	212	10948
19	213	10450
20	214	10000
21	215	9585
22	216	9212
23	217	8856
24	218	8534
25	219	8238
26	220	7957
27	221	7695
28	223	7486
29	228	7388
30	231	7223
31	232	7035
32	233	6852
33	234	6675
34	235	6503
35	236	6341
36	238	6195
37	239	6075
38	241	5954
39	243	5855
40	245	5734
41	246	5627
42	248	5524
43	249	5417
44	250	5325
45	252	5230
46	253	5139
47	255	5061
48	256	4974
49	257	4888
50	258	4804
51	259	4726
52	260	4649
53	261	4577
54	263	4529
55	264	4465
56	265	4398
57	266	4335
58	268	4286
59	271	4248
60	272	4192
61	273	4144
62	275	4090
63	275	4036
64	276	3984
65	278	3934
66	279	3891
67	281	3863
68	283	3825
69	284	3784
70	286	3748
71	287	3706
72	288	3667
73	289	3627
74	291	3593
75	292	3558
76	293	3518
77	294	3478
78	295	3439
79	296	3405
80	297	3370
81	298	3340
82	299	3303
83	300	3277
84	302	3254
85	303	3224
86	304	3194
87	305	3165
88	306	3136
89	307	3107
90	308	3079
91	309	3053
92	310	3027
93	311	3001
94	313	2984
95	315	2971
96	317	2954
97	318	2935
98	320	2914
99	321	2895
100	322	2872
101	323	2848
102	324	2826
103	325	2804
104	326	2783
105	327	2762
106	328	2743
107	330	2732
108	331	2712
109	332	2693
110	333	2674
111	334	2655
112	335	2636
113	336	2618
114	337	2600
115	339	2583
116	339	2564
117	341	2549
118	342	2535
119	344	2527
120	346	2517
121	347	2503
122	349	2490
123	350	2477
124	352	2465
125	353	2454
126	355	2441
127	356	2426
128	357	2414
129	358	2402
130	360	2392
131	361	2379
132	362	2365
133	363	2351
134	364	2338
135	365	2324
136	366	2311
137	368	2299
138	369	2286
139	370	2272
140	371	2265
141	373	2256
142	375	2251
143	377	2241
144	378	2230
145	379	2218
146	380	2209
147	382	2202
148	384	2194
149	385	2186
150	387	2179
151	389	2175
152	391	2167
153	393	2159
154	394	2152
155	396	2146
156	398	2138
157	399	2130
158	401	2121
159	403	2115
160	404	2108
161	406	2102
162	408	2095
163	409	2088
164	411	2081
165	412	2074
166	413	2064
167	415	2055
168	416	2050
169	419	2045
170	421	2042
171	422	2035
172	424	2029
173	426	2022
174	428	2019
175	429	2011
176	430	2003
177	433	2001
178	435	1997
179	437	1991
180	438	1984
181	440	1978
182	442	1974
183	443	1966
184	444	1957
185	445	1948
186	446	1941
187	447	1934
188	450	1932
189	451	1925
190	452	1918
191	454	1910
192	455	1904
193	456	1897
194	458	1891
195	459	1885
196	460	1878
197	462	1871
198	464	1869
199	465	1862
200	466	1855
201	468	1848
202	469	1843
203	470	1836
204	471	1829
205	472	1822
206	473	1815
207	474	1807
208	475	1801
209	477	1795
210	478	1789
211	479	1783
212	481	1777
213	482	1770
214	483	1764
215	484	1757
216	485	1751
217	486	1744
218	487	1737
219	488	1731
220	489	1725
221	490	1719
222	492	1716
223	494	1713
224	495	1707
225	497	1702
226	498	1696
227	499	1691
228	500	1685
229	501	1679
230	502	1672
231	503	1666
232	504	1660
233	505	1654
234	506	1649
235	508	1644
236	509	1641
237	511	1636
238	512	1630
239	513	1625
240	514	1620
241	515	1615
242	516	1609
243	518	1605
244	519	1599
245	520	1595
246	522	1592
247	523	1587
248	525	1583
249	526	1578
250	527	1572
251	528	1568
252	529	1563
253	530	1558
254	531	1553
255	532	1548
256	533	1542
257	534	1538
258	536	1533
259	537	1529
260	539	1526
261	540	1522
262	541	1517
263	542	1512
264	543	1508
265	544	1503
266	545	1498
267	546	1493
268	547	1488
269	548	1483
270	549	1478
271	550	1474
272	552	1471
273	554	1469
274	555	1465
275	557	1461
276	558	1456
277	559	1452
278	560	1448
279	561	1443
280	562	1438
281	563	1434
282	564	1430
283	565	1425
284	566	1421
285	567	1417
286	569	1414
287	570	1410
288	571	1406
289	573	1403
290	574	1399
291	575	1394
292	576	1390
293	577	1386
294	578	1383
295	580	1379
296	581	1376
297	583	1373
298	584	1369
299	585	1365
300	586	1361
301	587	1357
302	588	1354
303	589	1350
304	590	1346
305	592	1342
306	593	1339
307	594	1336
308	597	1335
309	598	1332
310	599	1328
311	601	1325
312	602	1321
313	603	1317
314	604	1313
315	605	1310
316	606	1306
317	607	1303
318	609	1301
319	611	1300
320	613	1297
321	614	1293
322	615	1289
323	616	1286
324	617	1282
325	618	1279
326	621	1279
327	623	1276
328	624	1273
329	626	1272
330	627	1268
331	629	1265
332	630	1262
333	631	1259
334	632	1255
335	633	1251
336	634	1248
337	636	1245
338	637	1242
339	638	1239
340	639	1236
341	641	1233
342	642	1230
343	643	1226
344	644	1223
345	645	1219
346	646	1216
347	647	1213
348	648	1209
349	649	1206
350	650	1203
351	652	1200
352	653	1197
353	654	1193
354	655	1190
